C,allRecognitionAcc,alpha,epsilon,group,mix_w,nRealis,nWords,pers,phi_RL,phi_WM,r0,v17_total_events,v1NumEvent,v7NumEvent
3,0.8125,0.0270562420958332,0.116405800026414,lab,0.742156313389732,NaN,NaN,0.928960809779879,0.0681002797790962,0.151159790000357,0.999941335129173,21,11,10
2,0.805357142857142,0.0330201129121428,0.0402746258401201,lab,0.99999995049482,NaN,NaN,0.878241142191823,0.121696098445411,0.121696292470024,0.999999899901901,25,10,15
5,0.7125,0.0318506348538339,0.037968563126889,lab,0.500005573675601,NaN,NaN,0.991417132314687,0.0945478848696159,0.176945910182629,0.520104148521444,39,19,20
3,0.7375,0.99999983308656,0.0315478866840077,lab,0.64965033490811,NaN,NaN,0.912668771985877,1.31851443160939e-08,0.515428665883225,0.474897361808642,19,9,10
3,0.755357142857143,0.0406283274597213,0.087466999211134,lab,0.999999740923289,NaN,NaN,0.950462728733397,0.157315790507496,0.157315943647853,0.977433777560458,11,3,8
3,0.864285714285714,0.0262991392604924,0.0233186992969428,lab,0.921668442642198,NaN,NaN,0.474313428306703,0.062936125098426,0.269023413521276,0.883013791048976,3,1,2
2,0.610714285714286,0.036635283300699,0.0826233787744898,lab,0.999997951665068,8,170,0.900228153784795,0.181356696968388,0.181358600482622,0.875327815630827,15,7,8
2,0.658928571428571,0.0172991130738238,0.0769659993216293,lab,0.999999830176589,17,181,0.940029755178216,0.0341612453416501,0.25126367939289,0.874870226666085,38,17,21
4,0.730357142857143,0.0830752250853077,0.0631946684094235,lab,0.999999401820226,17,214,0.946689480547391,0.211541245397247,0.21154144410402,0.666761981543453,14,8,6
4,0.8125,0.0121136412135695,0.0257591025182444,lab,0.792693685665777,7,108,0.839001705236834,1.93671721975227e-07,0.168724059148595,0.999999589787945,12,8,4
5,0.875,0.00436551359566538,0.0303156030733402,lab,0.760009127432784,0,92,0.999999663360635,2.01414867050917e-06,0.265480886703611,0.553319339688329,6,4,2
4,0.771428571428571,0.0235312094556858,0.103411713250172,lab,0.924547326733457,8,260,0.891533447986518,0.153644762140511,0.153644980065917,0.731903340846687,27,13,14
4,0.808928571428572,0.0214496330885662,0.0180179593148908,lab,0.850165420787913,1,8,0.488065914691288,0.230182292727844,0.230182853195708,0.999999622220499,3,1,2
4,0.692857142857143,0.0155108210251553,0.0857319553475124,lab,0.899678872160147,7,123,0.794227452328555,0.0601026380083301,0.238449795704009,1.3090296491889e-05,41,16,25
2,0.789285714285714,0.0489125073921282,0.0892073657942257,lab,0.999999796677228,6,44,0.84385424585563,0.120374900613843,0.253193316116105,0.923284001035902,2,1,1
4,0.703571428571429,0.0187051914692603,0.0983025138687619,lab,0.791203001675088,4,121,0.907015786175153,0.252020836404457,0.252021639216874,0.999999370681945,8,4,4
4,0.633928571428571,0.0519152187336463,0.125952572116158,lab,0.567587610188196,11,171,0.790006873767125,0.153112057458709,0.153112398717853,0.99999044843347,28,10,18
